auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:2ffb9e9998c5e085,Na2O24P6Sn8,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O24P6Sn8__ICSD__2ffb9e9998c5e085.cif,Na1O12P3Sn4_ICSD_413552.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Sn4_ICSD_413552/Na1O12P3Sn4_ICSD_413552.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Sn4_ICSD_413552,ICSD,"Na,O,P,Sn",4,40,161,161,hR40,hR40,AB12C3D4_hR40_161_a_4b_b_ab,AB12C3D4_hR40_161_a_4b_b_ab,3.7432,None,"['20170515_17:31:25_GMT-4', '20170516_19:52:43_GMT-4', '20210830_18:55:34_GMT-4']",3.2.11,
aflow:31a04251c00ef329,Na2O24P6Ti4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O24P6Ti4__ICSD__31a04251c00ef329.cif,Na1O12P3Ti2_ICSD_203042.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_203042/Na1O12P3Ti2_ICSD_203042.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_203042,ICSD,"Na,O,P,Ti",4,36,167,167,hR36,hR36,AB12C3D2_hR36_167_b_2f_e_c,AB12C3D2_hR36_167_b_2f_e_c,2.8497,None,"['20140923_09:44:41_GMT-4', '20140927_07:25:16_GMT-4', '20210830_17:50:57_GMT-4']",3.2.11,
aflow:32aba88a23b366e8,Al2H4Na6O18P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Al2H4Na6O18P4__ICSD__32aba88a23b366e8.cif,Al1H2Na3O9P2_ICSD_84643.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/Al1H2Na3O9P2_ICSD_84643/Al1H2Na3O9P2_ICSD_84643.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Al1H2Na3O9P2_ICSD_84643,ICSD,"Al,H,Na,O,P",5,34,12,12,mS68,mS68,AB2C3D9E2_mC68_12_e_2i_fgi_5i2j_2i,AB2C3D9E2_mC68_12_e_2i_fgi_5i2j_2i,4.5093,-2.20789,"['20140706_20:13:19_GMT-4', '20140708_08:44:45_GMT-4', '20210902_16:04:28_GMT-4']",3.2.11,
aflow:396f5cd73c51a67e,Al4N4Na12O36P12,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Al4N4Na12O36P12__ICSD__396f5cd73c51a67e.cif,Al1N1Na3O9P3_ICSD_75366.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/CUB/Al1N1Na3O9P3_ICSD_75366/Al1N1Na3O9P3_ICSD_75366.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1N1Na3O9P3_ICSD_75366,ICSD,"Al,N,Na,O,P",5,68,198,198,cP68,cP68,ABC3D9E3_cP68_198_a_a_3a_3b_b,ABC3D9E3_cP68_198_a_a_3a_3b_b,5.003,-2.2758,"['20140817_16:15:21_GMT-4', '20140821_02:43:54_GMT-4', '20210901_13:36:47_GMT-4']",3.2.11,
aflow:3a92aeb46170b5d8,In2Na6O16P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\In2Na6O16P4__ICSD__3a92aeb46170b5d8.cif,In1Na3O8P2_ICSD_90941.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCL/In1Na3O8P2_ICSD_90941/In1Na3O8P2_ICSD_90941.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/In1Na3O8P2_ICSD_90941,ICSD,"In,Na,O,P",4,28,11,11,mP28,mP28,AB3C8D2_mP28_11_e_3e_4e2f_2e,AB3C8D2_mP28_11_e_3e_4e2f_2e,3.3927,None,"['20160717_15:33:55_GMT-4', '20160718_18:49:25_GMT-4', '20210901_11:44:46_GMT-4']",3.2.11,
aflow:3f0ebd4d52fe6a4f,Al2F2Na2O8P2,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Al2F2Na2O8P2__ICSD__3f0ebd4d52fe6a4f.cif,Al1F1Na1O4P1_ICSD_40522.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/Al1F1Na1O4P1_ICSD_40522/Al1F1Na1O4P1_ICSD_40522.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Al1F1Na1O4P1_ICSD_40522,ICSD,"Al,F,Na,O,P",5,16,15,15,mS32,mS32,ABCD4E_mC32_15_c_e_e_2f_e,ABCD4E_mC32_15_c_e_e_2f_e,5.4423,-2.71742,"['20150112_00:13:41_GMT-5', '20150112_09:01:36_GMT-5', '20210902_13:21:42_GMT-4']",3.2.11,
aflow:4219ecef6824cfcc,Fe4Na4O16P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Fe4Na4O16P4__ICSD__4219ecef6824cfcc.cif,Fe1Na1O4P1_ICSD_85671.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/ORC/Fe1Na1O4P1_ICSD_85671/Fe1Na1O4P1_ICSD_85671.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1Na1O4P1_ICSD_85671,ICSD,"Fe,Na,O,P",4,28,62,62,oP28,oP28,ABC4D_oP28_62_a_c_2cd_c,ABC4D_oP28_62_a_c_2cd_c,3.4946,None,"['20160629_19:54:52_GMT-4', '20160630_15:53:10_GMT-4', '20210901_19:05:45_GMT-4']",3.2.11,
aflow:4651fdc8cdcfcea1,B2Fe2H6Na2O20P4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\B2Fe2H6Na2O20P4__ICSD__4651fdc8cdcfcea1.cif,B1Fe1H3Na1O10P2_ICSD_407796.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/MCLC/B1Fe1H3Na1O10P2_ICSD_407796/B1Fe1H3Na1O10P2_ICSD_407796.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/B1Fe1H3Na1O10P2_ICSD_407796,ICSD,"B,Fe,H,Na,O,P",6,36,15,15,mS72,mS72,ABC3DE10F2_mC72_15_e_a_bf_e_5f_f,ABC3DE10F2_mC72_15_e_a_bf_e_5f_f,1.2958,None,"['20170131_00:32:29_GMT-5', '20170201_00:11:45_GMT-5', '20210902_11:15:20_GMT-4']",3.2.11,
aflow:46fd92abbf1acb54,Na2O24P6Ti4,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Na2O24P6Ti4__ICSD__46fd92abbf1acb54.cif,Na1O12P3Ti2_ICSD_20776.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_20776/Na1O12P3Ti2_ICSD_20776.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1O12P3Ti2_ICSD_20776,ICSD,"Na,O,P,Ti",4,36,167,167,hR36,hR36,AB12C3D2_hR36_167_b_2f_e_c,AB12C3D2_hR36_167_b_2f_e_c,2.8474,None,"['20140918_05:27:51_GMT-4', '20140921_02:47:10_GMT-4', '20210830_17:16:59_GMT-4']",3.2.11,
aflow:485ca9e797a1b0cf,Co1Na2O14P4Zr1,downloaded,E:\work\worklist\pull_file\aflow_nasicon\cif\Co1Na2O14P4Zr1__ICSD__485ca9e797a1b0cf.cif,Co1Na2O14P4Zr1_ICSD_65704.cif,https://aflowlib.duke.edu/AFLOWDATA/ICSD_WEB/TRI/Co1Na2O14P4Zr1_ICSD_65704/Co1Na2O14P4Zr1_ICSD_65704.cif,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/Co1Na2O14P4Zr1_ICSD_65704,ICSD,"Co,Na,O,P,Zr",5,22,1,1,aP22,aP22,AB2C14D4E_aP22_1_a_2a_14a_4a_a,AB2C14D4E_aP22_1_a_2a_14a_4a_a,3.6688,None,"['20160121_18:21:35_GMT-5', '20160127_06:47:47_GMT-5', '20210831_03:53:12_GMT-4']",3.2.11,
