material_id,cif_path,formula,space_group,system,anion_type,log_sigma
MAT-045,../../../../cif/MAT-045__Na₁₁.₂₅Sn₂.₂₅Sb₀.₇₅S₁₂-045.cif,Na89Sn17P7S96,P1 (1),sulfide,sulfide,-3.2924298239020637
MAT-046,../../../../cif/MAT-046__原始73_060__Na88Sn16P8S96__P4_3_no78__row047.cif,Na11Sn2PS12,P4_3 (78),sulfide,sulfide,-2.853871964321762
MAT-048,../../../../cif/MAT-048__原始73_062__结构去重_01__COD_1528406__Na3MgZr_PO43.cif,Na17.994Mg6Zr6P18O72,R-3c (167),NASICON,oxide,-6.0
MAT-049,../../../../cif/MAT-049__原始73_063__结构去重_02__COD_1531508__NaZr2_PO43.cif,NaZr2(PO4)3,R-3c (167),NASICON,oxide,-5.346787486224656
MAT-051,../../../../cif/MAT-051__原始73_065__结构去重_04__COD_1008765__Na3Cr2_PO43.cif,Na17.736Cr12P18O72,R-3c (167),NASICON,oxide,-6.769551078621726
MAT-052,../../../../cif/MAT-052__原始73_066__结构去重_05__COD_1008845__Na3Cr2_PO43.cif,Na17.46Cr12P18O72,R-3c (167),NASICON,oxide,-6.769551078621726
MAT-053,../../../../cif/MAT-053__原始73_067__结构去重_06__COD_1008846__Na3Cr2_PO43.cif,Na17.88Cr12P18O72,R-3c (167),NASICON,oxide,-6.769551078621726
MAT-054,../../../../cif/MAT-054__原始73_071__结构去重_10__COD_2225132__Na3V2_PO43.cif,Na17.988V12P18O72,R-3c (167),NASICON,oxide,-7.522878745280337
MAT-064,../../../../cif/MAT-064__Na2.88Sb0.88W0.12S4_I-43m_nominal_average-064.cif,Na5.76Sb1.76W0.24S8,I-43m (217),sulfide,sulfide,-2.193820026016113
MAT-073,../../../../cif/MAT-073__Na2ZrCl6_HT_Rietveld_P-3m1_asymmetric-073.cif,Na2ZrCl6,P-3m1 (164),halide,chloride,-7.200659450546419
MAT-077,../../../../cif/MAT-077__alpha_Na4P2S6_solid_state_RT_reconstructed-077.cif,Na2PS3,C2/m (12),sulfide,sulfide,-6.154901959985743
MAT-078,../../../../cif/MAT-078__V4-SUL-002__paper_or_si_direct__rsc_d0ta11008f3_Na4P2S6.cif,Na7.998P4S12,C2/m (12),sulfide,sulfide,-5.698970004336019
MAT-080,../../../../cif/MAT-080__NaNbCl6_Ridley2025_Rietveld-080.cif,NaNbCl6,P2_1/c (14),halide,chloride,-5.853871964321762
MAT-089,../../../../cif/MAT-089__PARK24-001__mp-648__Na2S__Fm-3m.cif,Na2S,Fm-3m (225),sulfide,sulfide,-7.0
MAT-090,../../../../cif/MAT-090__PARK24-002__mp-1266__Na2Se__Fm-3m.cif,Na2Se,Fm-3m (225),sulfide,sulfide,-13.0
MAT-091,../../../../cif/MAT-091__PARK24-003__mp-22862__NaCl__Fm-3m.cif,NaCl,Fm-3m (225),halide,chloride,-13.0
MAT-092,../../../../cif/MAT-092__PARK24-004__mp-23268__NaI__Fm-3m.cif,NaI,Fm-3m (225),halide,iodide,-9.698970004336019
MAT-093,../../../../cif/MAT-093__PARK24-005__mp-677437__Na3Zr2Si2PO12__P1.cif,Na3Zr2Si2PO12,P1 (1),NASICON,oxide,-3.1739251972991736
MAT-094,../../../../cif/MAT-094__PARK24-006__mp-695119__Na3Zr2Si2PO12__P1.cif,Na3Zr2Si2PO12,P1 (1),NASICON,oxide,-3.1739251972991736
MAT-095,../../../../cif/MAT-095__PARK24-007__mp-695354__Na3Zr2Si2PO12__P1.cif,Na3Zr2Si2PO12,P1 (1),NASICON,oxide,-3.1739251972991736
