auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:d1b27aad61629918,Dy1Na1S2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Dy1Na1S2__ICSD__d1b27aad61629918.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Dy1Na1S2_ICSD_629966,ICSD,"Dy,Na,S",3,4,166,166,hR4,hR4,ABC2_hR4_166_a_b_c,ABC2_hR4_166_a_b_c,2.2749,None,"['20140926_04:23:17_GMT-4', '20140926_10:31:10_GMT-4', '20210817_11:27:10_GMT-4']",3.2.11,
aflow:d21750f0070ec5de,Na1S2V1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2V1__ICSD__d21750f0070ec5de.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1S2V1_ICSD_76541,ICSD,"Na,S,V",3,4,166,166,hR4,hR4,AB2C_hR4_166_b_c_a,AB2C_hR4_166_b_c_a,0.9846,None,"['20150101_07:20:02_GMT-5', '20150101_23:05:43_GMT-5', '20210815_17:49:42_GMT-4']",3.2.11,
aflow:d2e4ec4dce5f9366,Ag2Na6S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Ag2Na6S4__ICSD__d2e4ec4dce5f9366.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCI/Ag1Na3S2_ICSD_201800,ICSD,"Ag,Na,S",3,12,72,72,oI24,oI24,AB3C2_oI24_72_c_bf_j,AB3C2_oI24_72_c_bf_j,2.232,None,"['20150110_15:50:56_GMT-5', '20150112_05:21:01_GMT-5', '20210818_15:27:50_GMT-4']",3.2.11,
aflow:d3f7c305329fafef,Ge1Na1S2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Ge1Na1S2__LIB3__d3f7c305329fafef.cif,,,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/Ge_hNa_svS/T0001.ABC2,LIB3,"Ge,Na,S",3,4,225,225,cF16,cF16,ABC2_cF16_225_a_b_c,ABC2_cF16_225_a_b_c,0,-0.163422,20200611_14:45:44_GMT-5,3.2.3,
aflow:d540f7a9345b85d3,Er1Na1S2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Er1Na1S2__ICSD__d540f7a9345b85d3.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Er1Na1S2_ICSD_30250,ICSD,"Er,Na,S",3,4,166,166,hR4,hR4,ABC2_hR4_166_a_b_c,ABC2_hR4_166_a_b_c,2.32,None,"['20141129_09:09:40_GMT-5', '20141129_13:39:03_GMT-5', '20210818_10:29:49_GMT-4']",3.2.11,
aflow:d9a76293741a2663,Mn2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Mn2Na12S8__ICSD__d9a76293741a2663.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Na6S4_ICSD_95066,ICSD,"Mn,Na,S",3,22,186,186,hP22,hP22,AB6C4_hP22_186_b_2c_bc,AB6C4_hP22_186_b_2c_bc,1.9201,None,"['20160120_14:51:54_GMT-5', '20160121_18:01:38_GMT-5', '20210817_11:32:34_GMT-4']",3.2.11,
aflow:dbf91d3c9555ca6e,Na2S4Sb2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na2S4Sb2__ICSD__dbf91d3c9555ca6e.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/Na1S2Sb1_ICSD_200597,ICSD,"Na,S,Sb",3,8,2,2,aP8,aP8,AB2C_aP8_2_i_2i_i,AB2C_aP8_2_i_2i_i,0.8994,-0.743813,"['20141203_09:18:15_GMT-5', '20141206_05:57:40_GMT-5', '20210528_08:05:49_GMT-5']",3.2.9,
aflow:dd701219927b454f,Ge1Na2S1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Ge1Na2S1__LIB3__dd701219927b454f.cif,,,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/Ge_hNa_svS/T0001.AB2C,LIB3,"Ge,Na,S",3,4,225,225,cF16,cF16,AB2C_cF16_225_a_c_b,AB2C_cF16_225_a_c_b,0,-0.104846,20200611_14:45:39_GMT-5,3.2.3,
aflow:ddc011ffe46292ae,Na1S2Sn1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2Sn1__ICSD__ddc011ffe46292ae.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Na1S2Sn1_ICSD_644977,ICSD,"Na,S,Sn",3,4,166,166,hR4,hR4,AB2C_hR4_166_b_c_a,AB2C_hR4_166_b_c_a,0,None,"['20140927_18:24:27_GMT-4', '20140928_13:13:39_GMT-4', '20210817_14:08:37_GMT-4']",3.2.11,
aflow:deb0ce886bb23bfe,Na4P8S24Sb4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na4P8S24Sb4__ICSD__deb0ce886bb23bfe.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Na1P2S6Sb1_ICSD_155269,ICSD,"Na,P,S,Sb",4,40,14,14,mP40,mP40,AB2C6D_mP40_14_e_2e_6e_e,AB2C6D_mP40_14_e_2e_6e_e,2.034,-0.470696,"['20100919_14:05:29_GMT-5', '20100920_04:28:31_GMT-5', '20210527_10:49:35_GMT-5']",3.2.9,
aflow:dfd2314b71fda2d9,Mn2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Mn2Na12S8__ICSD__dfd2314b71fda2d9.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Na6S4_ICSD_65447,ICSD,"Mn,Na,S",3,22,186,186,hP22,hP22,AB6C4_hP22_186_b_2c_bc,AB6C4_hP22_186_b_2c_bc,1.9132,None,"['20160122_15:21:14_GMT-5', '20160123_13:14:18_GMT-5', '20210816_00:39:02_GMT-4']",3.2.11,
aflow:e0a2ffe74d06e68a,As4Na4S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\As4Na4S8__ICSD__e0a2ffe74d06e68a.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/As1Na1S2_ICSD_854,ICSD,"As,Na,S",3,16,2,2,aP16,aP16,ABC2_aP16_2_2i_2i_4i,ABC2_aP16_2_2i_2i_4i,1.3843,-0.600057,"['20100907_21:40:26_GMT-5', '20100907_22:07:58_GMT-5', '20210526_12:45:52_GMT-5']",3.2.9,
aflow:e101c8ca27457553,Ge8Na8S20,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Ge8Na8S20__ICSD__e101c8ca27457553.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ge4Na4S10_ICSD_25382,ICSD,"Ge,Na,S",3,36,63,63,oS72,oS72,A2B2C5_oC72_63_fg_eg_2cfgh,A2B2C5_oC72_63_fg_eg_2cfgh,2.4646,-0.678834,"['20150121_09:06:03_GMT-5', '20150123_12:02:03_GMT-5', '20210530_12:33:24_GMT-5']",3.2.9,
