descriptor,structure,setting_id,shell_tolerance,min_shell_size,value
framework_bond_rigidity,cn1_na_site,6,0.8,0,1.1134612334371354
framework_na_distance_stability,cn1_na_site,6,0.8,0,0.0
framework_poly_distortion,cn1_na_site,6,0.8,0,
framework_sharing_topology,cn1_na_site,6,0.8,0,0.0
max_bond_length,cn1_na_site,6,0.8,0,0.4800000000000004
mean_bond_length,cn1_na_site,6,0.8,0,0.4800000000000004
min_bond_length,cn1_na_site,6,0.8,0,0.4800000000000004
na_x_en_diff,cn1_na_site,6,0.8,0,2.51
poly_distortion_mean,cn1_na_site,6,0.8,0,
poly_volume_mean,cn1_na_site,6,0.8,0,286.46172000000024
target_bond_center,cn1_na_site,6,0.8,0,2.42
a2_max_dist,single_anion_o,1,0.6,4,
coordination_number_mean,single_anion_o,1,0.6,4,
covalency_index,single_anion_o,1,0.6,4,
direction_ratio,single_anion_o,1,0.6,4,
ellipsoid_oblateness,single_anion_o,1,0.6,4,
framework_bond_rigidity,single_anion_o,1,0.6,4,
framework_na_distance_stability,single_anion_o,1,0.6,4,
framework_poly_distortion,single_anion_o,1,0.6,4,
framework_sharing_topology,single_anion_o,1,0.6,4,
max_bond_length,single_anion_o,1,0.6,4,
mean_bond_length,single_anion_o,1,0.6,4,
min_bond_length,single_anion_o,1,0.6,4,
na_x_en_diff,single_anion_o,1,0.6,4,
poly_distortion_mean,single_anion_o,1,0.6,4,
poly_volume_mean,single_anion_o,1,0.6,4,
target_bond_center,single_anion_o,1,0.6,4,
a2_max_dist,single_anion_o,2,0.6,0,
coordination_number_mean,single_anion_o,2,0.6,0,
covalency_index,single_anion_o,2,0.6,0,
direction_ratio,single_anion_o,2,0.6,0,
ellipsoid_oblateness,single_anion_o,2,0.6,0,
framework_bond_rigidity,single_anion_o,2,0.6,0,
framework_na_distance_stability,single_anion_o,2,0.6,0,
framework_poly_distortion,single_anion_o,2,0.6,0,
framework_sharing_topology,single_anion_o,2,0.6,0,
max_bond_length,single_anion_o,2,0.6,0,
mean_bond_length,single_anion_o,2,0.6,0,
min_bond_length,single_anion_o,2,0.6,0,
na_x_en_diff,single_anion_o,2,0.6,0,
poly_distortion_mean,single_anion_o,2,0.6,0,
poly_volume_mean,single_anion_o,2,0.6,0,
target_bond_center,single_anion_o,2,0.6,0,
a2_max_dist,single_anion_o,3,0.7,4,
coordination_number_mean,single_anion_o,3,0.7,4,
covalency_index,single_anion_o,3,0.7,4,
direction_ratio,single_anion_o,3,0.7,4,
ellipsoid_oblateness,single_anion_o,3,0.7,4,
framework_bond_rigidity,single_anion_o,3,0.7,4,
framework_na_distance_stability,single_anion_o,3,0.7,4,
framework_poly_distortion,single_anion_o,3,0.7,4,
framework_sharing_topology,single_anion_o,3,0.7,4,
max_bond_length,single_anion_o,3,0.7,4,
mean_bond_length,single_anion_o,3,0.7,4,
min_bond_length,single_anion_o,3,0.7,4,
na_x_en_diff,single_anion_o,3,0.7,4,
poly_distortion_mean,single_anion_o,3,0.7,4,
poly_volume_mean,single_anion_o,3,0.7,4,
target_bond_center,single_anion_o,3,0.7,4,
a2_max_dist,single_anion_o,4,0.7,0,
coordination_number_mean,single_anion_o,4,0.7,0,
covalency_index,single_anion_o,4,0.7,0,
direction_ratio,single_anion_o,4,0.7,0,
ellipsoid_oblateness,single_anion_o,4,0.7,0,
framework_bond_rigidity,single_anion_o,4,0.7,0,
framework_na_distance_stability,single_anion_o,4,0.7,0,
framework_poly_distortion,single_anion_o,4,0.7,0,
framework_sharing_topology,single_anion_o,4,0.7,0,
max_bond_length,single_anion_o,4,0.7,0,
mean_bond_length,single_anion_o,4,0.7,0,
min_bond_length,single_anion_o,4,0.7,0,
na_x_en_diff,single_anion_o,4,0.7,0,
poly_distortion_mean,single_anion_o,4,0.7,0,
poly_volume_mean,single_anion_o,4,0.7,0,
target_bond_center,single_anion_o,4,0.7,0,
a2_max_dist,single_anion_o,5,0.8,4,
coordination_number_mean,single_anion_o,5,0.8,4,
covalency_index,single_anion_o,5,0.8,4,
direction_ratio,single_anion_o,5,0.8,4,
ellipsoid_oblateness,single_anion_o,5,0.8,4,
framework_bond_rigidity,single_anion_o,5,0.8,4,
framework_na_distance_stability,single_anion_o,5,0.8,4,
framework_poly_distortion,single_anion_o,5,0.8,4,
framework_sharing_topology,single_anion_o,5,0.8,4,
max_bond_length,single_anion_o,5,0.8,4,
mean_bond_length,single_anion_o,5,0.8,4,
min_bond_length,single_anion_o,5,0.8,4,
na_x_en_diff,single_anion_o,5,0.8,4,
poly_distortion_mean,single_anion_o,5,0.8,4,
poly_volume_mean,single_anion_o,5,0.8,4,
target_bond_center,single_anion_o,5,0.8,4,
a2_max_dist,single_anion_o,6,0.8,0,
coordination_number_mean,single_anion_o,6,0.8,0,
covalency_index,single_anion_o,6,0.8,0,
direction_ratio,single_anion_o,6,0.8,0,
ellipsoid_oblateness,single_anion_o,6,0.8,0,
framework_bond_rigidity,single_anion_o,6,0.8,0,
framework_na_distance_stability,single_anion_o,6,0.8,0,
framework_poly_distortion,single_anion_o,6,0.8,0,
framework_sharing_topology,single_anion_o,6,0.8,0,
max_bond_length,single_anion_o,6,0.8,0,
mean_bond_length,single_anion_o,6,0.8,0,
min_bond_length,single_anion_o,6,0.8,0,
na_x_en_diff,single_anion_o,6,0.8,0,
poly_distortion_mean,single_anion_o,6,0.8,0,
poly_volume_mean,single_anion_o,6,0.8,0,
target_bond_center,single_anion_o,6,0.8,0,
a2_max_dist,mixed_anion,1,0.6,4,3.4641016151377544
coordination_number_mean,mixed_anion,1,0.6,4,2.5
covalency_index,mixed_anion,1,0.6,4,0.8041296022480828
direction_ratio,mixed_anion,1,0.6,4,1.0
ellipsoid_oblateness,mixed_anion,1,0.6,4,2.000000000000001
framework_bond_rigidity,mixed_anion,1,0.6,4,1.0745187615662664
framework_na_distance_stability,mixed_anion,1,0.6,4,0.17157287525380996
framework_poly_distortion,mixed_anion,1,0.6,4,0.09214036535714963
framework_sharing_topology,mixed_anion,1,0.6,4,1.0
max_bond_length,mixed_anion,1,0.6,4,3.4641016151377544
mean_bond_length,mixed_anion,1,0.6,4,3.3581558667391604
min_bond_length,mixed_anion,1,0.6,4,3.1462643699419726
na_x_en_diff,mixed_anion,1,0.6,4,2.614
poly_distortion_mean,mixed_anion,1,0.6,4,0.046070182678574816
poly_volume_mean,mixed_anion,1,0.6,4,81.6648148148148
target_bond_center,mixed_anion,1,0.6,4,2.533333333333333
a2_max_dist,mixed_anion,2,0.6,0,3.4641016151377544
coordination_number_mean,mixed_anion,2,0.6,0,2.5
covalency_index,mixed_anion,2,0.6,0,0.8041296022480828
direction_ratio,mixed_anion,2,0.6,0,1.0
ellipsoid_oblateness,mixed_anion,2,0.6,0,2.000000000000001
framework_bond_rigidity,mixed_anion,2,0.6,0,1.0745187615662664
framework_na_distance_stability,mixed_anion,2,0.6,0,0.17157287525380996
framework_poly_distortion,mixed_anion,2,0.6,0,
framework_sharing_topology,mixed_anion,2,0.6,0,1.0
max_bond_length,mixed_anion,2,0.6,0,3.4641016151377544
mean_bond_length,mixed_anion,2,0.6,0,3.3581558667391604
min_bond_length,mixed_anion,2,0.6,0,3.1462643699419726
na_x_en_diff,mixed_anion,2,0.6,0,2.614
poly_distortion_mean,mixed_anion,2,0.6,0,0.0
poly_volume_mean,mixed_anion,2,0.6,0,81.6648148148148
target_bond_center,mixed_anion,2,0.6,0,2.533333333333333
a2_max_dist,mixed_anion,3,0.7,4,3.4641016151377544
coordination_number_mean,mixed_anion,3,0.7,4,2.5
covalency_index,mixed_anion,3,0.7,4,0.8041296022480828
direction_ratio,mixed_anion,3,0.7,4,1.0
ellipsoid_oblateness,mixed_anion,3,0.7,4,2.000000000000001
framework_bond_rigidity,mixed_anion,3,0.7,4,1.0745187615662664
framework_na_distance_stability,mixed_anion,3,0.7,4,0.17157287525380996
framework_poly_distortion,mixed_anion,3,0.7,4,0.09214036535714963
framework_sharing_topology,mixed_anion,3,0.7,4,1.0
max_bond_length,mixed_anion,3,0.7,4,3.4641016151377544
mean_bond_length,mixed_anion,3,0.7,4,3.3581558667391604
min_bond_length,mixed_anion,3,0.7,4,3.1462643699419726
na_x_en_diff,mixed_anion,3,0.7,4,2.614
poly_distortion_mean,mixed_anion,3,0.7,4,0.046070182678574816
poly_volume_mean,mixed_anion,3,0.7,4,81.6648148148148
target_bond_center,mixed_anion,3,0.7,4,2.533333333333333
a2_max_dist,mixed_anion,4,0.7,0,3.4641016151377544
