auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:14bea19ded05b9c7,C1Na4O4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C1Na4O4__ICSD__14bea19ded05b9c7.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/C1Na4O4_ICSD_245407,ICSD,"C,Na,O",3,9,160,160,hR9,hR9,AB4C4_hR9_160_a_ab_ab,AB4C4_hR9_160_a_ab_ab,1.5946,-1.31819,"['20150119_06:45:38_GMT-5', '20150119_13:58:58_GMT-5', '20210830_18:22:55_GMT-4']",3.2.11,
aflow:14f447eaeb0d03a7,As8Na4O22,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\As8Na4O22__ICSD__14f447eaeb0d03a7.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/As4Na2O11_ICSD_62963,ICSD,"As,Na,O",3,34,15,15,mS68,mS68,A4B2C11_mC68_15_2f_f_e5f,A4B2C11_mC68_15_2f_f_e5f,2.075,-1.34293,"['20150122_04:35:54_GMT-5', '20150124_19:47:04_GMT-5', '20210617_13:32:23_GMT-5']",3.2.9,
aflow:150683842661c0d7,B2H8Na2,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\B2H8Na2__ICSD__150683842661c0d7.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1H4Na1_ICSD_167235,ICSD,"B,H,Na",3,12,137,137,tP12,tP12,AB4C_tP12_137_b_g_a,AB4C_tP12_137_b_g_a,6.3236,-0.328233,"['20140614_12:07:34_GMT-5', '20140614_13:46:10_GMT-5', '20210601_06:37:17_GMT-5']",3.2.9,
aflow:1553d305ce318cdf,Cl4Na4O12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl4Na4O12__ICSD__1553d305ce318cdf.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl1Na1O3_ICSD_1301,ICSD,"Cl,Na,O",3,20,198,198,cP20,cP20,ABC3_cP20_198_a_a_b,ABC3_cP20_198_a_a_b,5.618,-0.695643,"['20140820_16:31:45_GMT-4', '20140820_22:10:12_GMT-4', '20210901_15:29:34_GMT-4']",3.2.11,
aflow:15806c8d36004935,C1Na4O4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C1Na4O4__ICSD__15806c8d36004935.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/C1Na4O4_ICSD_245414,ICSD,"C,Na,O",3,9,8,8,mS18,mS18,AB4C4_mC18_8_a_2ab_2ab,AB4C4_mC18_8_a_2ab_2ab,3.1878,-1.41673,"['20140707_02:45:51_GMT-4', '20140707_16:59:28_GMT-4', '20210902_08:28:48_GMT-4']",3.2.11,
aflow:15e9bfd43cbe11ed,Ge4Na8Se12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Ge4Na8Se12__ICSD__15e9bfd43cbe11ed.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ge1Na2Se3_ICSD_49003,ICSD,"Ge,Na,Se",3,24,14,14,mP24,mP24,AB2C3_mP24_14_e_2e_3e,AB2C3_mP24_14_e_2e_3e,1.6024,-0.765484,"['20141215_21:20:59_GMT-5', '20141217_15:17:50_GMT-5', '20210527_05:49:38_GMT-5']",3.2.9,
aflow:162d1d0d98c9e53a,F12H4Na8O20S4Te4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F12H4Na8O20S4Te4__ICSD__162d1d0d98c9e53a.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/F3H1Na2O5S1Te1_ICSD_20729,ICSD,"F,H,Na,O,S,Te",6,52,14,14,mP52,mP52,A3BC2D5EF_mP52_14_3e_e_2e_5e_e_e,A3BC2D5EF_mP52_14_3e_e_2e_5e_e_e,3.9053,-1.8055,"['20180507_12:22:48_GMT-4', '20180509_15:08:50_GMT-4', '20210901_03:23:51_GMT-4']",3.2.11,
aflow:1666c34b7d293a53,C2Na4O6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C2Na4O6__ICSD__1666c34b7d293a53.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/C1Na2O3_ICSD_80991,ICSD,"C,Na,O",3,12,12,12,mS24,mS24,AB2C3_mC24_12_i_aci_ij,AB2C3_mC24_12_i_aci_ij,3.8204,-1.74774,"['20140817_16:10:22_GMT-4', '20140818_16:08:31_GMT-4', '20210902_14:18:11_GMT-4']",3.2.11,
aflow:167ebb47dd3b12d8,B2Na6S6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\B2Na6S6__ICSD__167ebb47dd3b12d8.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/B1Na3S3_ICSD_411608,ICSD,"B,Na,S",3,14,15,15,mS28,mS28,AB3C3_mC28_15_e_af_ef,AB3C3_mC28_15_e_af_ef,2.5759,-0.956663,"['20150107_04:29:00_GMT-5', '20150107_12:44:31_GMT-5', '20210527_17:15:27_GMT-5']",3.2.9,
aflow:176120a123f97e77,N2Na2O6,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\N2Na2O6__ICSD__176120a123f97e77.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/N1Na1O3_ICSD_92573,ICSD,"N,Na,O",3,10,167,167,hR10,hR10,ABC3_hR10_167_a_b_e,ABC3_hR10_167_a_b_e,2.9681,-0.973844,"['20141024_06:32:19_GMT-4', '20141024_11:43:28_GMT-4', '20210830_17:35:32_GMT-4']",3.2.11,
